source_id,source_text,target_id,target_label,target_type,s_sem,s_gr,s_con,s_final,forced_top1,task,config
TI_PLO-10,"Mampu menerapkan nilai etika, moral, dan humaniora dalam praktik profesional bidang TI.",http://data.europa.eu/esco/skill/1ad64d80-9350-42a7-9f86-37ef1501b0f1,Steiner principles,ESCO,0.142945,0.0,0.0,0.085767,False,T1b,v1.1
TI_PLO-10,"Mampu menerapkan nilai etika, moral, dan humaniora dalam praktik profesional bidang TI.",http://data.europa.eu/esco/skill/3aa7e88e-bebd-48b1-94ba-6efddeecf08f,protect vulnerable social service users,ESCO,0.109953,0.0,0.0,0.065972,False,T1b,v1.1
TI_PLO-10,"Mampu menerapkan nilai etika, moral, dan humaniora dalam praktik profesional bidang TI.",http://data.europa.eu/esco/skill/33c01497-8264-4773-81dd-6096ad512f02,health care occupation-specific ethics,ESCO,0.106378,0.0,0.0,0.063827,False,T1b,v1.1
TI_PLO-10,"Mampu menerapkan nilai etika, moral, dan humaniora dalam praktik profesional bidang TI.",http://data.europa.eu/esco/skill/9bb92e10-a5a9-437e-8101-8be2d7f631ff,advise on legal decisions,ESCO,0.103999,0.0,0.0,0.062399,False,T1b,v1.1
TI_PLO-10,"Mampu menerapkan nilai etika, moral, dan humaniora dalam praktik profesional bidang TI.",http://data.europa.eu/esco/skill/196e6fb8-cc19-4045-92d8-02d52c60e328,supervise court hearings,ESCO,0.089069,0.0,0.0,0.053441,False,T1b,v1.1
TI_PLO-11,Mampu mengambil keputusan berbasis data dan analisis ilmiah.,http://data.europa.eu/esco/skill/d3286405-49f8-4e8a-8046-a4376b4e7963,manage cloud data and storage,ESCO,0.103551,0.0,1.0,0.212131,False,T1b,v1.1
TI_PLO-11,Mampu mengambil keputusan berbasis data dan analisis ilmiah.,http://data.europa.eu/esco/skill/3ec2e4d6-7000-4905-bf1a-c5b1679416de,data warehouse,ESCO,0.126751,0.0,0.5,0.151051,False,T1b,v1.1
TI_PLO-11,Mampu mengambil keputusan berbasis data dan analisis ilmiah.,http://data.europa.eu/esco/skill/0d6714c6-720e-4985-9791-5ab85d28da79,gather data,ESCO,0.132586,0.105263,0.0,0.105867,False,T1b,v1.1
TI_PLO-11,Mampu mengambil keputusan berbasis data dan analisis ilmiah.,http://data.europa.eu/esco/skill/c216b67a-7462-4f6a-ba14-db02f6e91b68,compile data for navigation publications,ESCO,0.109668,0.105263,0.0,0.092117,False,T1b,v1.1
TI_PLO-11,Mampu mengambil keputusan berbasis data dan analisis ilmiah.,http://data.europa.eu/esco/skill/f2d57f41-43b4-4f5b-8100-3df5c21eda50,process data,ESCO,0.116157,0.052632,0.0,0.082852,False,T1b,v1.1
TI_PLO-11,Mampu mengambil keputusan berbasis data dan analisis ilmiah.,http://data.europa.eu/esco/skill/88564d2d-2dc9-4789-864a-f9cb73f389ec,maintain data entry requirements,ESCO,0.127202,0.0,0.0,0.076321,False,T1b,v1.1
TI_PLO-11,Mampu mengambil keputusan berbasis data dan analisis ilmiah.,http://data.europa.eu/esco/skill/cc7370dd-69fa-4c67-a96f-d4d135d38700,data quality assessment,ESCO,0.124736,0.0,0.0,0.074842,False,T1b,v1.1
TI_PLO-11,Mampu mengambil keputusan berbasis data dan analisis ilmiah.,http://data.europa.eu/esco/skill/79e29b8b-47d1-470d-b7b1-32506bfe7d9a,collect ICT data,ESCO,0.102311,0.052632,0.0,0.074545,False,T1b,v1.1
TI_PLO-11,Mampu mengambil keputusan berbasis data dan analisis ilmiah.,http://data.europa.eu/esco/skill/46ec0033-3c71-415e-bcff-b065675ba2dc,integrate ICT data,ESCO,0.117001,0.0,0.0,0.070201,False,T1b,v1.1
TI_PLO-11,Mampu mengambil keputusan berbasis data dan analisis ilmiah.,http://data.europa.eu/esco/skill/c0326e27-5fa8-4dca-aecb-ed89ab491513,prepare visual data,ESCO,0.116083,0.0,0.0,0.06965,False,T1b,v1.1
TI_PLO-11,Mampu mengambil keputusan berbasis data dan analisis ilmiah.,http://data.europa.eu/esco/skill/50b100ea-74fd-4706-99db-3e4ca55e51b8,perform data cleansing,ESCO,0.112528,0.0,0.0,0.067517,False,T1b,v1.1
TI_PLO-11,Mampu mengambil keputusan berbasis data dan analisis ilmiah.,http://data.europa.eu/esco/skill/4af2461d-02b4-4fca-a070-c6399a6f1fb4,analyse oil operations data,ESCO,0.110324,0.0,0.0,0.066194,False,T1b,v1.1
TI_PLO-11,Mampu mengambil keputusan berbasis data dan analisis ilmiah.,http://data.europa.eu/esco/skill/7b1b3684-1d84-43b0-9a8f-54ba736fa506,read ship operational data,ESCO,0.106312,0.0,0.0,0.063787,False,T1b,v1.1
TI_PLO-11,Mampu mengambil keputusan berbasis data dan analisis ilmiah.,http://data.europa.eu/esco/skill/99814cb0-5f6c-4663-99a4-af28b11d5d2f,healthcare data systems,ESCO,0.10615,0.0,0.0,0.06369,False,T1b,v1.1
TI_PLO-11,Mampu mengambil keputusan berbasis data dan analisis ilmiah.,http://data.europa.eu/esco/skill/2b834a98-14ff-47e1-8aef-cf8ffae912fa,collect mapping data,ESCO,0.104734,0.0,0.0,0.06284,False,T1b,v1.1
TI_PLO-11,Mampu mengambil keputusan berbasis data dan analisis ilmiah.,http://data.europa.eu/esco/skill/cb5cccc9-abe4-4b11-abe6-d27e5cd85fb1,manage standards for data exchange,ESCO,0.102982,0.0,0.0,0.061789,False,T1b,v1.1
TI_PLO-11,Mampu mengambil keputusan berbasis data dan analisis ilmiah.,http://data.europa.eu/esco/skill/77f109c4-3107-4d2a-a512-5160ac103933,analyse environmental data,ESCO,0.102732,0.0,0.0,0.061639,False,T1b,v1.1
TI_PLO-11,Mampu mengambil keputusan berbasis data dan analisis ilmiah.,http://data.europa.eu/esco/skill/47a49cd6-097d-457a-9f7b-c290c14930d5,analyse big data,ESCO,0.10179,0.0,0.0,0.061074,False,T1b,v1.1
TI_PLO-11,Mampu mengambil keputusan berbasis data dan analisis ilmiah.,http://data.europa.eu/esco/skill/4a193795-fa63-414e-9f2e-bfdb3924571e,handle data samples,ESCO,0.101561,0.0,0.0,0.060937,False,T1b,v1.1
TI_PLO-11,Mampu mengambil keputusan berbasis data dan analisis ilmiah.,http://data.europa.eu/esco/skill/e9b99d6e-c7ec-4f87-b7b4-b5322733c998,interpret seismic data,ESCO,0.100793,0.0,0.0,0.060476,False,T1b,v1.1
TI_PLO-13,Mampu merancang program dan aplikasi portable di berbagai platform.,http://data.europa.eu/esco/skill/085bfce5-70fe-43da-9499-307725e89bbc,WizIQ,ESCO,0.120958,0.0,0.5,0.147575,False,T1b,v1.1
TI_PLO-13,Mampu merancang program dan aplikasi portable di berbagai platform.,http://data.europa.eu/esco/skill/bedd8fa7-5a64-4134-9095-58f5709e25e4,Moodle,ESCO,0.120958,0.0,0.5,0.147575,False,T1b,v1.1
TI_PLO-13,Mampu merancang program dan aplikasi portable di berbagai platform.,http://data.europa.eu/esco/skill/219dd03d-4168-416a-be40-f4becca55130,Engrade,ESCO,0.120958,0.0,0.5,0.147575,False,T1b,v1.1
TI_PLO-13,Mampu merancang program dan aplikasi portable di berbagai platform.,http://data.europa.eu/esco/skill/d87fe0be-9055-4a76-a444-e98b5bfad9d8,Taleo,ESCO,0.120958,0.0,0.5,0.147575,False,T1b,v1.1
TI_PLO-13,Mampu merancang program dan aplikasi portable di berbagai platform.,http://data.europa.eu/esco/skill/489b2571-ce18-4944-b452-ed1f54e55b68,Schoology,ESCO,0.120958,0.0,0.5,0.147575,False,T1b,v1.1
TI_PLO-13,Mampu merancang program dan aplikasi portable di berbagai platform.,http://data.europa.eu/esco/skill/54971fec-1c2f-49c0-9396-2f0c9fa5c8c0,LAMS,ESCO,0.110358,0.0,0.5,0.141215,False,T1b,v1.1
TI_PLO-13,Mampu merancang program dan aplikasi portable di berbagai platform.,http://data.europa.eu/esco/skill/a9622bbb-3a6f-4819-a3fe-cd6a447a78e9,Sakai,ESCO,0.10859,0.0,0.5,0.140154,False,T1b,v1.1
TI_PLO-13,Mampu merancang program dan aplikasi portable di berbagai platform.,http://data.europa.eu/esco/skill/a87c1c42-8927-4183-97c7-a17554c22b29,Litmos,ESCO,0.10859,0.0,0.5,0.140154,False,T1b,v1.1
TI_PLO-13,Mampu merancang program dan aplikasi portable di berbagai platform.,http://data.europa.eu/esco/skill/24ff9b31-a497-4817-9e9b-c0ff3b3fa0ef,set up portable field transmission equipment,ESCO,0.194243,0.0,0.0,0.116546,False,T1b,v1.1
TI_PLO-13,Mampu merancang program dan aplikasi portable di berbagai platform.,http://data.europa.eu/esco/skill/db77825e-0f3e-47d0-abdb-356794484272,use mathematical tools and equipment,ESCO,0.146464,0.0,0.0,0.087878,False,T1b,v1.1
TI_PLO-13,Mampu merancang program dan aplikasi portable di berbagai platform.,http://data.europa.eu/esco/skill/a5b308e8-78b7-4376-bdf8-7dfe047d62a2,irrigate soil,ESCO,0.145997,0.0,0.0,0.087598,False,T1b,v1.1
TI_PLO-13,Mampu merancang program dan aplikasi portable di berbagai platform.,http://data.europa.eu/esco/skill/cf200547-25b5-47c8-9eda-bca4aedc13fb,program firmware,ESCO,0.131032,0.0,0.0,0.078619,False,T1b,v1.1
TI_PLO-13,Mampu merancang program dan aplikasi portable di berbagai platform.,http://data.europa.eu/esco/skill/5f8e1bde-a2f9-4742-a4f4-309dfc2f6311,set up additive manufacturing systems,ESCO,0.127218,0.0,0.0,0.076331,False,T1b,v1.1
TI_PLO-13,Mampu merancang program dan aplikasi portable di berbagai platform.,http://data.europa.eu/esco/skill/d9d3eb78-a7c6-4076-9e19-df225af2ec62,manage recycling program budget,ESCO,0.124243,0.0,0.0,0.074546,False,T1b,v1.1
TI_PLO-13,Mampu merancang program dan aplikasi portable di berbagai platform.,http://data.europa.eu/esco/skill/92424f2d-a3b7-4d0a-9932-ae1dc4e1d79e,operate drying blowers,ESCO,0.120819,0.0,0.0,0.072491,False,T1b,v1.1
TI_PLO-13,Mampu merancang program dan aplikasi portable di berbagai platform.,http://data.europa.eu/esco/skill/5b4ea415-3a3a-4d90-91d2-2d18ad196f4b,program sound cues,ESCO,0.118352,0.0,0.0,0.071011,False,T1b,v1.1
TI_PLO-13,Mampu merancang program dan aplikasi portable di berbagai platform.,http://data.europa.eu/esco/skill/d0245e61-204f-48ca-911b-45e564732682,reconstruct program theory,ESCO,0.110987,0.0,0.0,0.066592,False,T1b,v1.1
TI_PLO-13,Mampu merancang program dan aplikasi portable di berbagai platform.,http://data.europa.eu/esco/skill/33f39236-ab8c-4554-b80c-ca506cafde45,evaluate social work program's impact,ESCO,0.110798,0.0,0.0,0.066479,False,T1b,v1.1
TI_PLO-13,Mampu merancang program dan aplikasi portable di berbagai platform.,http://data.europa.eu/esco/skill/5f6c74c9-c49c-400d-bdd9-314e8bf348a1,load heavy items on pallets,ESCO,0.107239,0.0,0.0,0.064343,False,T1b,v1.1
TI_PLO-13,Mampu merancang program dan aplikasi portable di berbagai platform.,http://data.europa.eu/esco/skill/ad6cc4f7-0735-4924-a8fa-271d147e48d2,construct working platform,ESCO,0.106504,0.0,0.0,0.063902,False,T1b,v1.1
TI_PLO-14,Mampu merancang dan menerapkan prosedur keamanan sistem TI secara komprehensif.,http://data.europa.eu/esco/skill/afd63e8c-a4e7-42d3-86c9-3b2dd549a353,Parrot Security OS,ESCO,0.143446,0.0,1.0,0.236068,False,T1b,v1.1
TI_PLO-14,Mampu merancang dan menerapkan prosedur keamanan sistem TI secara komprehensif.,http://data.europa.eu/esco/skill/5760a84e-c9a0-4c36-9bee-46a8cf1a036d,establish site security routines,ESCO,0.125675,0.0,1.0,0.225405,False,T1b,v1.1
TI_PLO-14,Mampu merancang dan menerapkan prosedur keamanan sistem TI secara komprehensif.,http://data.europa.eu/esco/skill/e79dab00-fe87-48f2-b8cc-f48b68bc7f35,WhiteHat Sentinel,ESCO,0.117129,0.0,1.0,0.220277,False,T1b,v1.1
TI_PLO-14,Mampu merancang dan menerapkan prosedur keamanan sistem TI secara komprehensif.,http://data.europa.eu/esco/skill/e5b5053e-0ef6-4c4e-a3f2-42f955f4322c,implement a firewall,ESCO,0.1168,0.0,1.0,0.22008,False,T1b,v1.1
TI_PLO-14,Mampu merancang dan menerapkan prosedur keamanan sistem TI secara komprehensif.,http://data.europa.eu/esco/skill/2891f0dc-4426-4a9a-8fbb-db4fb0a66f91,Nessus,ESCO,0.115998,0.0,1.0,0.219599,False,T1b,v1.1
TI_PLO-14,Mampu merancang dan menerapkan prosedur keamanan sistem TI secara komprehensif.,http://data.europa.eu/esco/skill/ce354460-500e-4eaa-8e95-8f243fcea3db,manage system testing,ESCO,0.115192,0.0,1.0,0.219115,False,T1b,v1.1
TI_PLO-14,Mampu merancang dan menerapkan prosedur keamanan sistem TI secara komprehensif.,http://data.europa.eu/esco/skill/ec85cc63-4e24-4631-bf92-8789db2605c0,maintain database security,ESCO,0.106447,0.0,1.0,0.213868,False,T1b,v1.1
TI_PLO-14,Mampu merancang dan menerapkan prosedur keamanan sistem TI secara komprehensif.,http://data.europa.eu/esco/skill/eb67f129-4a8f-41b7-9abe-25c907392103,manage outsourced security,ESCO,0.153938,0.0,0.0,0.092363,False,T1b,v1.1
TI_PLO-14,Mampu merancang dan menerapkan prosedur keamanan sistem TI secara komprehensif.,http://data.europa.eu/esco/skill/865ccba0-e1a2-402c-9641-d23a4acac6ea,manage security equipment,ESCO,0.125546,0.052632,0.0,0.088486,False,T1b,v1.1
TI_PLO-14,Mampu merancang dan menerapkan prosedur keamanan sistem TI secara komprehensif.,http://data.europa.eu/esco/skill/f9738fc9-4d67-43e8-bfda-954123e34d42,coordinate security,ESCO,0.147005,0.0,0.0,0.088203,False,T1b,v1.1
TI_PLO-14,Mampu merancang dan menerapkan prosedur keamanan sistem TI secara komprehensif.,http://data.europa.eu/esco/skill/3f2bb5b8-49bf-4ff1-94a5-09fb53e27d92,train security officers,ESCO,0.139541,0.0,0.0,0.083725,False,T1b,v1.1
TI_PLO-14,Mampu merancang dan menerapkan prosedur keamanan sistem TI secara komprehensif.,http://data.europa.eu/esco/skill/2e69f3a4-e0be-4990-aff7-facc1b6c6860,match goods with appropriate packaging according to security procedures,ESCO,0.110311,0.052632,0.0,0.079345,False,T1b,v1.1
